clean,label
fact hard remember part ray charles act play man ray charles legendary ray charles life provide excellent biographical material film go well beyond another movie musician hitchcock great director ironically mostly find film total waste time watch secondly hitchcock pretty much perfect thriller chase movie pander audience sabotage film hence whole story lack certain energy plot simply rumble like machine desperately depend addition new scene usual hitchcock logic flaw mishima extremely unintereste chilly unremarkable movie author livingworke chilly abstruse culture flat reenactment do not hold attention emotionally adrift stagy rest sit awful soldier sing song masculinity pledge hairsplitte purity admiration sword etc bore piece kill momentum movie quick anyone else schrader make resume full lousy amateurish film first watch movie love totally fascinated music dance everything however recently watch whole thing dvd completely strike extremely stupid storyline contain hole inconsistency frankly whole lot crap horrid dancing mean realistic world would never get ballet repertory whole thing quite pathetic character development also lack depth woa talk awful waste time horrible worst sappy dialogue could go really make unwatchable direction poor actor can not even tell talent pathetic line speak director give action check director filmography site see film do not chance would even good make tv flick good intention make film great film might one great film ever make film great actor master director significant themeat least wouldbe significant theme undertone fifty existential worldweariness aerial scene ought thrill sens imagination character one might deeply care regrettably film fail movie lack visual interest drama expression feel celebration patriotism underline narrative actress worse use june allison movie yet enjoy watch unfortunately bad movie plain bad bad script bad direction horrible acting make one plain bad dialogue suck cinematographyif call thatsucked soundtrack suck act suck concert sequence suck nice funny funny overall movie cheap trash movie funny consider ridiculousness came feel angry spoiler whatever else can not say surface superbly craft cinematography simply stunning say least fx nothing stateoftheart conceptually show offer little bit everything everybody parent kid fantasy andor fx fan be not single sour note strike actingwise either surprisingly solid cast thing consider job well do thank good movie like done release one good mexican movie ever one less understand even mexican matter identify feel rank highly great noircrimedrama incredible performance belmondo lino ventura attention give every character complex psychological portrayal detail loyalty treachery love hope tremendous excellent drama excellent thriller excellent film well melville everything film simply incredible truly take journey eye soul child black water thriller manage completely transcend limitation indie flick continually subvert expectation emerge intense experience performance real grip crocdodile extremely well do indeed black water website believe that s use real croc swamp location fabulous thoroughly enjoy christopher eccleston take control tardis continuation series I m sure try film turn good day feeling night disturb memory guess succeed lot beautiful place force like everything movie lame here movie really pied do not even get start jerky camerawork see theater thought go sick summary witticism be not witty plot well say I d let one go act bad really bad even billy bob could not rise script bad camerawork bad rating amazing finale possibly good trilogy time kieslowski never cease amaze one favourite director one talented director history cinema use colour french flag three film nothing short incredible every shot every scene like work art three visually appeal movie I ve ever see subtle connection three film awesome mention huge spoiler love end character three film remain survivor ferry disaster valentine young judge together old man watch tv solidify happiness suffering deal many year could not think well way end film smile face great way wrap amazing film trilogy recommend everyone love film movie anythinga work art movie trilogy literally vomit watch film think one people find another one roth pearl performance award stunning story tell eloquently francis ford coppola year early really unfolds gradually leave room character develop wonderful location lie story contrast beautiful direct film nicolas roeg wih sublime cast I m translate movie live first movie year working experience find offensive intelligence someone strive greatness poetry deliver muddle often ridiculous story bunch disparate scene pretentious dialogue get bad kind movie reviewer accurately define pretentious crap,0
find movie intelligent even masterful say intelligence imagination obviously use try make sense pitiful attempt human nature try make sense thing,0
one thing tolerate political incorrectness well I m artistic freedom suspension disbelief slavic female character much,0
fun funny movie,1
highly entertaining angle,1
feature outlandish array memorable psychotic lovable nut,1
enjoyment get see run around play game dangerous,1
even sweet moment,1
telephone repair man really funny reaction nut bitchy boss truly genuine,1
character film tremendously well play,1
really find funny,1
actually smart movie,1
brilliant twist end,1
love end perfect you ll shed tear thrilled seeing movie like never forget cult cult classic depth character man underneath malta setting dry barren dialogue movie terrible hockey scene terrible defenseman play like they re year old goalie diving shot foot wide net etc have not see do not waste time call movie drama ridiculous start watch do not believe character particular relationship bakery assistant waitress do not work superficial movie give feel watch play rather film character stagey storyline lot like stage farce time pyromaniac waylay assistant bored do not care happen next switch glad do not pay see do not laugh even smile be not anything one big yawn really good show watch educational child year old barney definitely super de duper pretty funny babie bop cute kid cool storm trooper even bad enough make list wonderfully terrible movie,0
lame,0
guy say he s well dialogue potted plant right,0
everything movie stupid,0
even love bad movie watch movie,0
shameful,0
would give television series plus could,1
writers smack think good actor actresse bonus showthese character real,1
must say tap episode find watch,1
know give,1
do not know exactly movie latch endear movie become special part family memory,1
totally absolutely recommend movie anyone like good wholesome family movie exactly,1
thing four kid get absolutely hilarious watch,1
one good movie show strong sibling bond,1
much interesting action suspense less unneeded controversy,1
everything act cinematography solid,1
definitely worth check,1
damian talented versatile many way write portray different character screen,1
movie cut edge,1
pleased know modern day genius let passion art drive take we audience,1
new character be not memorable find forget,0
feel though go ireland absolutely nothing whatsoever,0
do not make scared horrified make sympathetic towards character simply annoying,0
jerky camera movement also annoying,0
plot pretty much every cheap horror,0
pathetic attempt give character depth do not really work rest plot,0
guess suppose clever twist shed light situation stupid,0
see probably leave shelf,0
elias koteasjack palance play good role angelina hot get nakedbilly drago appear cool usual cameo sven ole thorsen help make enjoyable movie good act decent budget,1
awesome movie buy ebay,1
really love story line poler bear kinda cutebut anyone question fort steele ask away,1
totally unfunny movie top pathetic unrealistic throughout whole minute utter torture probably look watch time,0
lucy bell much high crap sink low quite depressing,0
movie make sick watch slacker make excuse stupid action minute,0
god never get minute back,0
think wonderful part literally full wonder excerpt work,1
set especially design work camera amazingstylize beautiful effective,1
could use exemplar set designer,1
story powerful exploration nature man art,1
watch film want learn work artist,1
highly recommend movie anyone interested art poetry theater politic japanese history,1
wind lion see wonderful rendering america imperial age,1
make story different terrific production value faultless photography composition edit terrific casting underappreciated brian keith play bully teddy vivid history,1
though wind lion tell largely eye son every member family identify one character whether sean connery noble brigand candace bergens feisty heroine john hustons wily john hay steve kanaly spiffy radiant ruthless cando lieutenant roosevelt big stick,1
high adventure good,1
think robert ryans good film portray someone like father schizophrenic real lifemy father although never murder anyone affect second world war make bad,1
humour get get day apt,1
mother brother thiswhen see robert ryan portray type man good imitation type individual impress,1
almost song cover girl oldfashione tuneful,0
annoying thing cover girl way rita hayworth put pedestal,0
unfortunately cover girl example hollywood use exploit woman financial gain,0
nonlinear narration thus many flashback every part articulate quite well,1
good cinematography also make monica bellucci look beautiful,1
good commentary today love undoubtedly film worth see,1
people first timer film make think excellent job,1
popular cinema good house good reaction plenty laugh,1
feelgood film that s feel come cinema,1
northern humour positive community represent,1
rather enjoy,1
like,1
could not take seriously,0
really create unique feeling though,1
vivian schille excellent job script,1
world well garbage theatre today,1
role play well,1
screamy masculine right,1
camera really like movie,1
would cast role ready script,1
european movie nice throwback time student experience live abroad interact nationality although circumstance slightly different,1
fan movie suck really bad,0
even bad ticker,0
movie bad,0
like building use couple location maybe poor hummh,0
blow,0
movie excellentangel beautiful scamp adorablehis little yelp he s scaredand funniest part whenscamp catch curtain angel scamp singing I ve never feel beforei totally recommend movieit come special edition june cover scamp garbage angel underneath lid,1
can not explain movie romanticcharminghilariousand adorablethe junkyard scene funnyall junkyard dog something specialtoo funny laughedkids love itbuy come outit new feature,1
choose torture disgusting piece blatant american propaganda,0
show make americans stupid full hatred clichés admit elsewhere,0
almost everyone involve must return school act utterly predictable bad script pile garbage round,0
wish could enter negative value admin,0
set bad would not look place thunderbird episode,0
use slowmotion needlessly repeat throughout movie well back bad act bad kind word continuity scene throw reason whatsoever vehicle look like make corn flake box directorial style border stupidity,0
oh yeah storyline pathetic,0
hate write bad review film especially really like star film bad do not believe one second anyone could proud,0
filmmaker director would hide head sand i d spend whatever amount money time movie,0
short monumental waste time energy would recommend anyone ever see film,0
come free dvd player bought still turn thing halfway embarrassed howell,0
set,0
interesting premise billy drago always good dangerous nutbag side note i d love see drago stephen mchattie lance hendrikson flick together talk rag cheekbone,1
soundtrack be not terrible either,1
actingeven professional drago debbie rochonwa terrible directing bad perhaps contributory former dialog chimplike camera work barely tolerable,0
still set get big oyvey scale,1
yes simplify thing sake brevity really core problem film much go without real fulfilling explanation,0
good job quite amusing,1
convolute plot do not convince much film watch weird questioning glance,0
let girlfriend talk see bad idea hat,0
last minute movie also bad well,1
bela lugosi totally extraneous intone odd line,0
act decidely wooden though bad period universal b movie,0
like armand assante cable company summary sound interesting watch twice already probably,1
believe screenwriter good job tie loose end,1
score mostly plot,1
will not say do not like spoiler do not want one believe film worth time,1
wow bad film,0
frightening least barely comprehensible,0
plot do not hang together act absolutely appalling,0
even good camp value,0
be not expect oscar material,0
you d iq particularly stupid mollusk see one come,0
film use word loosely insult moviegoe public,0
someone involve know string together narrative,0
get simply there s nothing low,0
one watch recently fox movie channel disappoint,0
know contract player little control script act bad script,0
victor mclaglen even bad brian donlevy almost unrecognizable,0
consider relation screen taylor stanwyck surprising little chemistry screen two,0
premise film ridiculous president we,0
death row scene entirely unmove,0
thing bad taylor act stanwyck sing,0
whatever producer going miss entirely,0
deeply impressed character play,1
know see film great thing come gifted actor,1
cheap cheerless heist movie poor characterisation lot underbite style stoic emoting think chow yun fat well tomorrow cheesy clichés throw abandon factory ready poorly execute flying judo roll la john woo,0
even squib look awful,0
point proceeding look remotely like america,0
plot derivative predictable ending like mercy kill,0
awful dialogue hopeless overact everyone get shoot top real waste space time,0
uneasy bad movie scar,0
dialogue compose thing make little sense,0
minutes footage waste show mediocre elderly actor awkwardly babble overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made word,0
direct sloppy well,0
hackneyed writing certainly make even bad bad directing,0
course act blah,0
act whole cast could put scale balance perfectly overact underacting,0
finally get end would ve great handle competent people jerry falwell,0
love movie great portrayal family share up end know special love,1
see many movie star jaclyn smith god one good though come year ago,1
movie contain allstar cast love open eye see actor have not see,1
movie kind long length enjoy every minute,1
overall rate movie scale,1
lifetime air enough anyone know store sell let know musthave,1
particularly remember sens assault strident cord music would blare little warning even less meaning,0
sort pap screen afternoon punish unemployed job,0
totally different load understatement black comedy film get see remember,1
movie create universe fascinating every way,1
movie really get,1
see,1
really hope team behind movie make movie continue kinda weird style,1
forget cast superb trond fausa aurvåg perfect role bothersome man do not understand,1
movie good humorous comment life,1
find move beautiful enjoyable uplift,1
initially local site film film buffalo intrigue,1
later find lose power film,1
entire audience applaud conclusion film,1
leave theater lilt step joy heart hope human race,1
duris wholesome appearance give fine performance,1
rest cast also play well,1
cinematography noteworthy include fine view barcelona famed gaudi tower,1
ten minute film start second thought,0
half way film start dislike,0
time film end dislike despise,0
film lack convince script,0
script look rough draft write shooting begin finished script complete,0
thing happen character personality change plot twist occur real reason script call,0
cast good,1
worth check,1
probably irritate show ever see entire life,0
indescribably annoying idiotic show ever see,0
everything bad,0
could understand kind idiot would produce mess first place mention several season,0
script bad bad  contain cheesiness unethical joke normally see rat r nc movie,0
cast also horrible cause see really really bad actor period,0
final word show real torture,0
zillion time away reality,0
watch washing machine twirl around would not hurt eye much show,0
rating grade z note show bad even mother cast pull daughter show,0
th century foxs road house quite silly noir implausible unmitigated bore movie,0
full unconvincing cardboard character blandly write edward chodorov also produce surprisingly direct jean negulesco one would expect great deal,0
widmark character turn unintentionally comical,0
lose marble early proceeding totally implausible unconvincing,0
be not enough mess movie picture also mar constant use studio set indoor exterior,0
whatever prompt documentary beyond,0
serious spoiler movie huge disappointment,0
many problem do not know start,0
cast great,1
steve martin deliver really funny performance middleage upper class uptight white guy,1
add betty white jean smart great cast everyone play part really well,1
movie make lot serious mistake,0
first enough racial stereotype racial joke offend everyone,0
movie litter overt racial slur towards black cast member return white depict moron boob,0
put race card aside let look major flaw film destroy latifas character,0
real plot,0
would not see movie free,0
steamboat willie amazingly important film cinema history,1
second appearance mickey mouse follow silent plane crazy early year probably famous filmmostly groundbreaking,1
do not yet hear mickey speak ton sound effect music throughout filmsomethe take grant huge crowd pleaser,1
however see short year amazed timeless film actually,1
adorable see mickey play turkey straw highly imaginative occasionally cruel way,1
clever real crowdpleaserthis film still rank among mickey good film even wonderful year,1
bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing,0
I m terribly disappointed film would receive many award accolade especially far deserve work film,0
original body soul masterpiece,1
john garfield ann revere lilli plmer william conrad canada leeand film one great cinematographer ever grace screenjames wong howe,1
do not think redeem quality remake,0
may bad film ever make,0
badwellit bad,0
movie solid example bad plot bad idea way,0
shame see good actor like thomerson james make live mess like,0
think bad,0
film terrible credit version watchable,0
let start problemsthe act especially lead professor bad,0
script big flawed mess,0
good example dumb writing establish turn zombiestudent back human remove necklace contain piece meteorite,0
director paul matthews also wrotedirecte weak monster movie grim clearly do not know pace film,0
movie terribly boring place,0
light awful,0
film look cheap bland,0
one disappointing aspect lack notable gore,0
convention never work well past certainly do not work,0
visual effect awful,0
cg opening sequence space look like could create microsoft slideshow god sake,0
explosion gas tank end awful,0
okay like consider fair critic ill give credit credit duethe creature effect actually pretty cool,1
get to love closeup slimy drooling tooth,1
sum film breeder terrible cheaply make horror movie avoid like ebola virus,0
recommend,0
almost unbearable watch screen little charisma terrible comedic timing,0
aside terrible lead film load debit,0
understand suppose cheap popcorn comedy do not mean completely insult intelligence writing incredibly hackneye border offensive,0
lewis black considerable talent waste incendiary unrestrained pg rating certainly will not allow,0
film sole bright spot jonah hill look almost unrecognizable fan recent superbad due amount weight lose interim,1
originality freshness first movie spend remake little else offer,0
budget evidently limit,0
reflect cast also belowpar script borrow much early classic,0
however decent act action location work balance thing,0
filmie less expansive,0
fail convey broad sweep landscape great part original,0
generally lack imagination,0
recommend,0
possible movie get bad,0
plot keep go first place,0
even woman finally show sign improvement expect thing happen time film might far asleep,0
beware trashy cult movie trash period,0
can not believe there s even sequel,0
precisely give bad review,0
child truly enjoy show proudly say enjoy big time even classical wb cartoon,1
tiny toon keep vibe deliver one popular funny underrated cartoon ever create,1
memories murky say enjoy every single episode product relate show,1
easily none cartoon make laugh tender way get dark sitcom orient teenager,1
character funny peculiarity true lead character,1
every single character hilarious deserve call lead,1
every element story top excessively phony contrive painful sit,0
line seem write fifteen year old though try oh hard sound like fifteen year old would really um know well talk,0
perabo nice energy level obviously comfortable front camera,1
simply excuse something poorly do,0
see movie think stupid movie,0
even stupid thought idea volcano los angeles,0
honest unbelievable nonsense foolish,0
conclusion bother movie volcano los angeles nothing nonsense,0
story line awful,0
painful,0
accent absolutely abysmal,0
there s also enough hypocrisy film make vomit,0
do not waste time watch rubbish nonresearche film,0
believe pitch black do well,1
character interesting want find long movie go think people surprise do not make,1
go watch,1
omit watch,0
funny,1
rating,0
character interesting really care,1
instant classic great soundtrack catchy song end credit,1
do not miss,1
masterful piece filmmake many theme simmer occasionally boil wart study poet bohemian selfindulgent wartime year span aerial bombardment london outward tranquillity welsh coastal retreat borderline friendship lust love dedication art experience versus practical concern jealousy rivalry cowardice egotism versus heroism selfsacrifice,1
mature subtle script suggest occasionally bring dramatic focus underlie tension well serve perfect performance apart odd inappropriate smile keira knightley prone though perhaps direction time character often mention,1
exquisite visual composition moment inventive elegant use closeup camera angle lighting include pointillistic faux home movie footage wonder joy behold,1
continuously beautiful look bertolucci relationship convince narrative engage master work,1
basic premise waste since sideline inexplicable focus documentary crew,0
regardless film fail level,0
avoid cost,0
see film christmas great film,1
think errol flynn brilliant custer since become favourite actor,1
act alongside olivia de havilland brilliant end fantastic,1
always know errol flynn brilliant actor dad favourite actor grew watch film child,1
be not watch film realise great actually,1
ill give film,1
know jim oconnor energetic nobody could much george well dull,0
really do not seem want host voiceover monotonous do not get involved guest,0
lovely little thriller hitchcock lot nice shenanigan surround murder spy kidnap child nasty church foreign plot random taxidermist,1
jimmy stewart ever great hero hitchcock story rip along cool climax embassy function lack brood menace hitchcock black white lowbudget original,1
nevertheless yet another wonderful film great master stable,1
say film excellently produce top rating typical sci fi film,1
excellently produce one scifis good producer scot vandiver,1
entertain nonetheless,1
campy sort film that s joy watch,1
there s barely boring moment film plenty humorous part,1
cast always entertain usual,1
overall delight,1
movie mindbendingly awful could not even create,0
film lack real scare tension medical terminology use throughout bit iffy say least say insulin dependant diabetic,0
least say act well,0
movie excellent job reveal complexity task incredible challenge face south africa,1
believe every one see movie think people outside south africa understand past attempt truth reconciliation process,1
nothing short magnificent photographycinematography film,1
act fantastic story seamlessly weave together dog splendid must rent view see,1
do not afraid subtitle worth little aversion therapy,1
excellent performance,1
still good actor around,1
also great direct photography,1
true shakespear must shakespear fan,1
macbeth jason connery move tear final monolog brief candle outhe give sphere moral decay dark force human face make interesting,1
helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil,1
love death decay shakespear lyric one,1
witty delightful adaptation dr seuss book brilliantly animate upa fine thoroughly deserve academy award,1
special mention make superb music score sound effect integral element help make memorable enjoyable cartoon,1
however paul schrader indeed make film mishima superb complex,1
also notable john baileys fine crisp beautifully color cinematography great production design costume eiko ishioka go memorable costume coppola dracula receive well deserve oscar,1
even allow poor production value time format kind miniserie baaaaaad,0
unless you re visually collect extant film austen work skip one,0
watch however small consolation actress play anne sister wonderful job role,1
good,0
speak music unbearably predictably kitchy,0
film drop ball,0
stunning movie,1
raw sublimely move,1
feel like grip intelligent stage play without overly theatrical feeling one actually get watch people stage play everyone terror white lie escalate monstrous consequence,1
main player mesmerise,1
tom wilkinson break heart end everyone else judging amount fumble hanky hand go face among male female alike,1
julian fellowe triumph,1
he s national treasure,1
go see,1
excellent film,1
aerial scene welldone,1
also right balance war love,1
film give mean phrase never history human conflict much owe many,1
kris kristoffersen good movie really make difference,1
good film great director,1
definitely one well documentary see look family relationship marriage,1
many continuity error one user comment different car garage joe glassesthe one get fact joe facial hair configuration seem change scene scene,0
great movie,1
star,1
can not see movie inspiration anyone come overcome fear rejection,0
bad actually worth see reason,0
punishment park brilliant piece cinema,1
shot southern california desert use patent faux documentary style watkin create film like,1
one peter watkin accessible film,1
advise look,1
will not regret,1
highly recommend,1
well keep think bad,0
mediocre miserable hollow laughable predictable piece garbage,0
case bad laughable,0
bad performance play angela bennett computer expert home time,0
film nothing pretext show ridiculous action scene,0
awful,0
still bad actress repeat robotic face move picture,0
result well shame,0
delete film mind,0
one bad show time,0
show would begin smart ass ed comment would totally wall uncalled,0
fat computer geek unbelievable bible thumper badass girl actor,0
never hear except cole totally unbelievable part,0
every time open mouth expect hear see kid pull plug mercy kill horrible show,0
story unbelievable actor,0
lame would good way describe,0
stanwyck morgan perfectly cast many way modern equivalent dicken christmas carol sensibility,1
success film depend cast sydney greenstreet alexander yardley character,1
attractive set use throughout film eyeplease gem,1
I m big fan rpg games movie disgrace selfrespecte rpger,0
line cut audio everything wrong,0
find well movie youtube,0
top line do not waste time money one bad come,0
lassie movie put sleep forever,0
that s i d describe painfully dreary timewaster film,0
mediocre every aspect become dull uninteresting mess one forgettable movie I ve see,0
be not even achievement sobaditsgood sobaditsmemorable movie,0
empty hollow shell movie,0
seriously worth waste kid time,0
avoid avoid avoid,0
drive bark mad,0
transfer good,1
nice relax late night view,1
movie full wonderful dancing hence title,1
great music terrific scenery,1
handle tough issue dignity grace course shocking spoiler,1
happy wonderful feel good end,1
point journey journey touch every member family,1
one movie need see whenever come tvnever mind fact already memorize,1
nothing new,0
do second movie,0
movie almost action scene little comedy,0
plot hole pair fishnet stocking direction edit astonishingly ham fiste,0
earth iron film,0
see film recommend,1
good plot hold complete attention act superb tom wilkinson fantastic emily watson also good,1
good film indeed great unconditional love,1
tom wilkinson character man prepare ordeal begin take matter hand story progress great actor give performance make feel character anguish suffer,1
emily watson character strong give quick glance understand everything,1
despite pan reviewer like movie,1
fact like well interview vampire like lestat stuart townsend well cruise attempt,1
aailiyah pretty good akasha place compelling first entrance mini dance scene,1
I m big fan series mostly due anne rice style sensitivity treatment,1
guess like detail dysfunctionhe believable,1
football scene end perplexing,0
think act skilled,1
meredith well right,1
charming film wonderful sentiment heart,1
rare filmmaker take time tell worthy moral tale care love do not fall trap overly syrupy indulgent,1
nine ten truly lovely film,1
early film future goremeister lucio fulci good addition giallo subgenre,1
one good italian thriller early,1
standout scene,1
scene strong unpleasant,0
technically film well make impressive camerawork solid act effective music riz ortolani  particularly good recur unaccompanied female vocal sound like come distant hill,1
still wild stuff though highly recommend fan giallo cinema,1
movie interesting beginning end,1
like way dustin hoffmans character ready everything stay son,1
movie also reveal,1
personally think show people learn find compromise self without involve people issue,1
bore,0
tired clichés lazy writing come thick fast,0
ps scene movie cool central character find room blow,1
fresh subtle rather sublime effect,1
italian reviewer call small great film that s right,1
actor give wonderful performance especially jennifer rubin jamie harris change nervous starlet begin strange event part cool star,1
learn lot real inside emotion people movie lot movie business,1
movie movie situation begin game play act coach fascinating,1
also music mark snow possibly well score I ve ever hear,1
will not forget movie,1
film make,0
film ultracheap look,0
result film do not look right,0
none engage exciting,0
plot nonsense do not interest slight way uniqueness,0
foreigner worth one second time,0
see child tv back stranger love,1
duet astronaut doctor beginning movie perfect exchange one consider movie make well cold war astronaut big fear crash ussr,1
movie awesome,1
love really scary,1
love scream movie horror movie one rank way,1
want real scare rent one,1
,1
extraordinary film,1
courtroom drama compelling indictment american justice system frightening,1
film highlight fundamental flaw legal process discover guilt innocence rather present well court,1
film well pace understate one good courtroom documentary I ve see,1
mostly routine factbased tv drama get boost fine performance cole,1
predictable bad watch,1
clear range ability pull part,1
carry movie well,1
constantine give everything right intensity seem good understanding underlie psychological motivation,1
wonderful inspire watch hope get release video dvd,1
piece trash ever release beyond act story character supposedly special effect etcit wrong,0
fact stinker smell like directtovideo release,0
avoid cost,0
star trek v final frontier bad series,0
act involve include like shatner nimoy bad wash make seem old look real life special effect tacky like spock rescue kirk jet pack fall mountain,0
attempt humor pitiful story awful dosent bear thinking basically involve vulcan stealing enterprise find god seriously do not care film oh mention uhura belly dance distract male guard,0
place good film garbage,0
bad one series,0
edit edit film phenomenal opinion,1
